countyFIPS,State,2020_total,2021_total,2022_total
17135,IL,2382,29755,40871
17137,IL,4949,40250,52596
17139,IL,1050,12925,18564
17141,IL,3101,33648,49544
17143,IL,14613,127114,197392
17145,IL,2878,27907,38293
17147,IL,324,7490,9874
17149,IL,1708,22260,28562
17151,IL,128,2156,3472
17153,IL,197,3567,8101
17155,IL,0,1795,3867
17157,IL,3052,35113,47914
17159,IL,1899,20845,30742
17161,IL,18123,134137,187180
17163,IL,44098,212891,288417
17165,IL,1959,28163,40793
17167,IL,13906,107223,156937
17169,IL,268,7080,9055
17171,IL,20,1077,4681
17173,IL,2131,16825,30466
17175,IL,552,9061,12615
17177,IL,3099,39829,65133
17179,IL,9829,123416,184618
17181,IL,5119,18387,26204
17183,IL,3819,63450,112859
17185,IL,703,6951,11431
17187,IL,1531,20815,31714
17189,IL,518,11798,14913
17191,IL,2498,20249,31139
17193,IL,791,14080,21127
17195,IL,9911,78379,94766
17197,IL,99760,403571,587092
17199,IL,8396,57931,96537
17201,IL,37649,196762,311368
17203,IL,2682,36159,47706
0,IN,3163,0,246699
18001,IN,1905,22055,40450
18003,IN,49459,268671,422256
18005,IN,13296,59476,89604
18007,IN,189,5289,7662
18009,IN,1303,12314,24778
18011,IN,11746,39297,64377
18013,IN,672,15518,22416
18015,IN,2019,9758,23777
18017,IN,3901,39835,58745
18019,IN,14924,78997,141450
18021,IN,2232,18136,31260
18023,IN,3087,23391,44184
18025,IN,355,6806,13592
18027,IN,7337,37644,54163
18029,IN,6898,30121,49701
18031,IN,10005,36158,52122
18033,IN,3215,33083,53716
18035,IN,16255,79157,157829
18037,IN,4189,43175,59678
18039,IN,28862,174011,262682
18041,IN,3959,26128,52412
18043,IN,14516,69296,106593
18045,IN,1126,18391,36077
18047,IN,4782,14162,23324
18049,IN,1465,17756,36895
18051,IN,2637,35875,52167
18053,IN,9340,69904,124274
18055,IN,9244,32759,49765
18057,IN,32249,160814,235655
18059,IN,10818,55985,92703
18061,IN,5959,28570,49467
18063,IN,31466,125633,198294
18065,IN,5818,43415,82394
18067,IN,15059,87982,159695
18069,IN,1461,31890,55912
18071,IN,3303,28000,46275
18073,IN,1524,22387,52495
18075,IN,1131,13672,28118
18077,IN,1526,30870,55057
18079,IN,3196,19544,38349
18081,IN,34261,148935,219548
18083,IN,2015,33266,54514
18085,IN,5080,47269,84704
18087,IN,3636,27722,37037
18089,IN,80569,383800,650352
18091,IN,12063,81584,130770
18093,IN,8333,49931,92411
18095,IN,22729,136488,232499
18097,IN,192427,693255,1066873
18099,IN,5748,43934,70389
18101,IN,358,5907,9014
18103,IN,1436,28194,57032
18105,IN,9273,65487,100316
18107,IN,5439,34675,58941
18109,IN,9390,55948,102309
18111,IN,2966,14633,24567
18113,IN,8179,34422,56423
18115,IN,1073,4055,6803
18117,IN,6253,21556,34612
18119,IN,1054,22485,42139
18121,IN,534,6993,17467
18123,IN,2984,15668,24513
18125,IN,1647,13229,17757
18127,IN,12949,119215,200491
18129,IN,1273,13182,20629
18131,IN,1288,17750,30927
18133,IN,3480,24155,45199
18135,IN,2365,30839,52800
18137,IN,2810,26495,49332
18139,IN,1148,9657,20355
18141,IN,31507,209569,310891
18143,IN,3297,22241,37880
18145,IN,9441,41114,65277
18147,IN,966,12338,21771
18149,IN,2644,22246,34655
18151,IN,1660,23791,43205
18153,IN,2002,16365,27230
18155,IN,217,3215,6990
18157,IN,4357,83137,140341
18159,IN,3938,18676,31326
18161,IN,88,4334,7631
18163,IN,11522,150990,223028
18165,IN,749,16850,26535
18167,IN,9118,95892,146808
18169,IN,2356,31068,55453
18171,IN,481,5790,10537
18173,IN,11271,59332,85579
18175,IN,744,13844,28954
18177,IN,7347,78601,120582
18179,IN,2491,30474,47823
18181,IN,3292,20687,33751
18183,IN,1714,16432,29844
0,IA,2,284,3080
19001,IA,660,11612,18325
19003,IA,101,1731,4937
19005,IA,1784,17963,22100
19007,IA,1584,17808,25106
19009,IA,372,4292,7479
19011,IA,1471,20029,28193
19013,IA,21318,116182,175635
19015,IA,1311,12091,20835
19017,IA,2531,22473,30118
19019,IA,835,12218,21790
19021,IA,2665,14782,21170
19023,IA,853,12827,19580
19025,IA,729,4830,8948
19027,IA,1753,18375,25381
19029,IA,1638,20041,28652
19031,IA,1111,8597,13497
19033,IA,4915,35132,61310
19035,IA,710,14109,23378
19037,IA,354,6061,11809
19039,IA,675,8451,13801
19041,IA,691,10103,16507
19043,IA,1490,20528,26934
19045,IA,4110,33891,54106
19047,IA,1757,14615,19586
19049,IA,9129,35774,52813
19051,IA,921,8831,11885
19053,IA,61,3541,9455
19055,IA,1804,15797,24772
19057,IA,2006,27256,51335
19059,IA,1350,16200,26595
19061,IA,11581,76771,109600
19063,IA,2243,14857,19238
19065,IA,781,15273,27766
19067,IA,1797,15518,22872
19069,IA,2488,8512,15767
19071,IA,220,3646,9162
19073,IA,154,4237,8204
19075,IA,915,12006,16085
19077,IA,2083,11398,16665
19079,IA,1036,17733,26976
19081,IA,1023,12403,17420
19083,IA,1040,15914,22744
19085,IA,2446,26658,34450
19087,IA,1347,14637,26991
19089,IA,1068,7982,12613
19091,IA,789,9442,13933
